project_id,industry,company_size,region,project_type,outcome,budget_usd_m,duration_months,primary_failure_reason,secondary_failure_reason,data_readiness_score,leadership_support_score,talent_score,change_mgmt_score,year_launched,roi_pct,has_dedicated_ai_team,used_external_vendor,has_data_governance
AIPROJ-1074,Financial Services,Small (<200),Latin America,Computer Vision,Failed,0.14,24,No Clear Business Use Case,Lack of Executive Sponsorship,5,2,5,4,2022,2.9,True,True,True
AIPROJ-1075,Financial Services,Mid-size (200-1000),North America,Recommendation Engine,Failed,1.45,11,No Clear Business Use Case,Vendor/Tech Dependency,5,4,8,5,2024,-25.5,True,True,False
AIPROJ-1076,Government,Enterprise (5000+),Middle East & Africa,Fraud Detection,Partial Failure,17.06,22,Vendor/Tech Dependency,Model Performance Gaps,2,6,1,6,2023,49.2,False,False,True
AIPROJ-1077,Energy,Mid-size (200-1000),Latin America,Recommendation Engine,Partial Failure,1.98,17,Insufficient Budget,Change Management Issues,2,4,10,1,2024,62.4,True,True,True
AIPROJ-1078,Technology,Enterprise (5000+),Europe,Predictive Analytics,Succeeded,49.3,24,Siloed Organizational Structure,Lack of Skilled Talent,6,7,2,7,2024,225.2,False,True,True
AIPROJ-1079,Technology,Mid-size (200-1000),Asia-Pacific,Predictive Analytics,Failed,0.9,22,Regulatory/Compliance Hurdles,Lack of Executive Sponsorship,5,2,6,2,2019,25.2,False,True,False
AIPROJ-1080,Retail,Mid-size (200-1000),Europe,Recommendation Engine,Partial Failure,0.57,16,No Clear Business Use Case,Insufficient Budget,5,3,5,2,2019,32.8,True,False,False
AIPROJ-1081,Education,Enterprise (5000+),Asia-Pacific,Process Automation,Ongoing (At Risk),32.47,9,Siloed Organizational Structure,Model Performance Gaps,4,5,1,3,2019,,False,True,True
AIPROJ-1082,Manufacturing,Enterprise (5000+),Latin America,Fraud Detection,Failed,27.34,7,Lack of Executive Sponsorship,Poor Data Quality,5,3,5,4,2023,-36.7,False,True,False
AIPROJ-1083,Education,Enterprise (5000+),North America,Predictive Analytics,Partial Failure,8.42,16,Insufficient Budget,Siloed Organizational Structure,3,5,7,2,2022,45.9,False,True,False
AIPROJ-1084,Manufacturing,Enterprise (5000+),Europe,Predictive Analytics,Succeeded,34.65,23,Model Performance Gaps,Vendor/Tech Dependency,7,7,2,7,2019,153.3,True,True,True
AIPROJ-1085,Education,Large (1000-5000),Latin America,Generative AI,Failed,2.96,13,No Clear Business Use Case,Vendor/Tech Dependency,5,3,3,4,2020,-14.2,True,True,True
AIPROJ-1086,Financial Services,Enterprise (5000+),Middle East & Africa,Process Automation,Succeeded,6.67,9,Poor Data Quality,No Clear Business Use Case,8,6,8,6,2024,150.4,True,True,True
AIPROJ-1087,Education,Mid-size (200-1000),Latin America,Computer Vision,Ongoing (At Risk),1.61,3,Poor Data Quality,Regulatory/Compliance Hurdles,5,3,7,4,2022,,True,True,True
AIPROJ-1088,Government,Mid-size (200-1000),Latin America,Predictive Analytics,Succeeded,1.7,17,Regulatory/Compliance Hurdles,Siloed Organizational Structure,6,9,10,6,2021,127.2,True,True,False
AIPROJ-1089,Education,Large (1000-5000),North America,Recommendation Engine,Failed,5.74,26,Poor Data Quality,Lack of Executive Sponsorship,5,3,6,6,2019,-20.8,True,True,False
AIPROJ-1090,Government,Mid-size (200-1000),North America,Fraud Detection,Ongoing (At Risk),0.83,16,Poor Data Quality,Lack of Skilled Talent,4,2,10,3,2020,,True,False,True
AIPROJ-1091,Manufacturing,Small (<200),Middle East & Africa,Computer Vision,Partial Failure,0.44,21,Change Management Issues,No Clear Business Use Case,3,3,5,4,2022,68.9,True,True,False
AIPROJ-1092,Healthcare,Mid-size (200-1000),Latin America,Generative AI,Succeeded,0.76,26,Insufficient Budget,Model Performance Gaps,6,6,6,6,2020,170.3,True,True,True
AIPROJ-1093,Healthcare,Mid-size (200-1000),Asia-Pacific,NLP/Chatbot,Succeeded,1.79,4,Lack of Executive Sponsorship,Poor Data Quality,6,7,1,7,2021,137.5,False,True,True
AIPROJ-1094,Education,Enterprise (5000+),Europe,NLP/Chatbot,Partial Failure,21.77,23,Lack of Executive Sponsorship,Change Management Issues,3,2,5,5,2019,23.8,True,True,True
AIPROJ-1095,Technology,Small (<200),Middle East & Africa,Fraud Detection,Succeeded,0.31,18,Poor Data Quality,Model Performance Gaps,8,8,9,7,2023,170.5,True,False,False
AIPROJ-1096,Education,Large (1000-5000),North America,Process Automation,Succeeded,8.94,22,Regulatory/Compliance Hurdles,Poor Data Quality,8,8,7,8,2022,170.9,True,True,False
AIPROJ-1097,Energy,Small (<200),Latin America,Predictive Analytics,Partial Failure,0.45,19,Siloed Organizational Structure,No Clear Business Use Case,4,2,7,4,2022,7.1,True,False,False
AIPROJ-1098,Retail,Large (1000-5000),Middle East & Africa,Fraud Detection,Partial Failure,8.24,19,Vendor/Tech Dependency,Siloed Organizational Structure,3,5,5,5,2022,16.2,False,True,False
AIPROJ-1099,Education,Large (1000-5000),Asia-Pacific,Fraud Detection,Failed,8.17,22,Change Management Issues,Lack of Skilled Talent,5,3,5,7,2021,-44.8,False,False,True
AIPROJ-1100,Energy,Mid-size (200-1000),Latin America,Process Automation,Failed,0.99,27,Lack of Executive Sponsorship,Model Performance Gaps,4,3,9,1,2021,-74.0,True,True,False
AIPROJ-1101,Financial Services,Enterprise (5000+),Asia-Pacific,Computer Vision,Failed,42.8,13,Siloed Organizational Structure,Change Management Issues,5,4,5,3,2021,1.0,True,False,False
AIPROJ-1102,Technology,Large (1000-5000),Asia-Pacific,Process Automation,Failed,3.7,18,Insufficient Budget,Lack of Executive Sponsorship,4,5,4,4,2019,-30.6,True,True,True
AIPROJ-1103,Manufacturing,Small (<200),Europe,Generative AI,Failed,0.28,15,Model Performance Gaps,Vendor/Tech Dependency,4,3,7,3,2023,-56.8,True,True,True
AIPROJ-1104,Manufacturing,Enterprise (5000+),Latin America,Recommendation Engine,Ongoing (At Risk),24.36,17,Poor Data Quality,No Clear Business Use Case,2,4,4,5,2021,,True,True,True
AIPROJ-1105,Manufacturing,Enterprise (5000+),Europe,Predictive Analytics,Partial Failure,35.62,14,Lack of Executive Sponsorship,Regulatory/Compliance Hurdles,4,4,7,5,2022,50.2,False,True,True
AIPROJ-1106,Government,Enterprise (5000+),Middle East & Africa,Predictive Analytics,Succeeded,11.41,20,Regulatory/Compliance Hurdles,Vendor/Tech Dependency,9,7,6,9,2021,109.9,True,True,False
AIPROJ-1107,Technology,Large (1000-5000),Europe,NLP/Chatbot,Partial Failure,4.58,18,Change Management Issues,Model Performance Gaps,5,5,5,3,2019,49.2,False,True,True
AIPROJ-1108,Retail,Mid-size (200-1000),Europe,Generative AI,Ongoing (At Risk),1.81,23,Siloed Organizational Structure,Insufficient Budget,5,5,7,3,2024,,True,False,True
AIPROJ-1109,Technology,Small (<200),Europe,Predictive Analytics,Partial Failure,0.41,14,Change Management Issues,Model Performance Gaps,4,3,3,4,2020,76.3,False,True,False
AIPROJ-1110,Technology,Small (<200),Middle East & Africa,Computer Vision,Failed,0.49,11,Insufficient Budget,Poor Data Quality,3,5,7,8,2019,-31.9,False,False,True
AIPROJ-1111,Technology,Mid-size (200-1000),Latin America,NLP/Chatbot,Partial Failure,1.24,16,Poor Data Quality,Regulatory/Compliance Hurdles,3,3,2,4,2022,36.6,True,True,False
AIPROJ-1112,Energy,Enterprise (5000+),Asia-Pacific,Computer Vision,Ongoing (At Risk),24.15,10,Poor Data Quality,Regulatory/Compliance Hurdles,2,4,7,6,2022,,False,False,True
AIPROJ-1113,Healthcare,Small (<200),Latin America,Recommendation Engine,Succeeded,0.36,15,Lack of Skilled Talent,Poor Data Quality,6,6,7,7,2020,175.0,True,False,True
AIPROJ-1114,Retail,Large (1000-5000),North America,Computer Vision,Failed,9.77,13,Lack of Skilled Talent,Lack of Executive Sponsorship,4,3,2,3,2022,-33.1,False,True,False
AIPROJ-1115,Manufacturing,Enterprise (5000+),Latin America,Recommendation Engine,Failed,34.35,24,Insufficient Budget,Siloed Organizational Structure,3,1,8,6,2021,-58.1,True,False,True
AIPROJ-1116,Financial Services,Small (<200),Europe,Generative AI,Failed,0.31,14,Change Management Issues,Regulatory/Compliance Hurdles,5,3,2,3,2024,0.0,True,False,False
AIPROJ-1117,Healthcare,Mid-size (200-1000),Europe,Computer Vision,Ongoing (At Risk),1.04,23,Vendor/Tech Dependency,Lack of Skilled Talent,6,4,4,6,2020,,False,False,True
AIPROJ-1118,Financial Services,Enterprise (5000+),Latin America,Generative AI,Failed,17.14,18,Lack of Executive Sponsorship,Siloed Organizational Structure,3,4,3,3,2021,-21.0,False,False,False
AIPROJ-1119,Financial Services,Mid-size (200-1000),Asia-Pacific,Generative AI,Partial Failure,1.22,8,Insufficient Budget,Vendor/Tech Dependency,5,1,6,2,2019,46.8,True,False,False
AIPROJ-1120,Manufacturing,Large (1000-5000),Middle East & Africa,Generative AI,Failed,7.39,14,Change Management Issues,Siloed Organizational Structure,7,3,5,5,2019,-20.1,False,False,True
AIPROJ-1121,Manufacturing,Mid-size (200-1000),Asia-Pacific,Fraud Detection,Failed,1.75,20,No Clear Business Use Case,Lack of Skilled Talent,5,4,4,4,2019,-15.0,False,False,False
AIPROJ-1122,Retail,Large (1000-5000),Middle East & Africa,Generative AI,Ongoing (At Risk),2.85,24,Lack of Executive Sponsorship,Insufficient Budget,4,4,8,4,2022,,True,False,False
AIPROJ-1123,Healthcare,Enterprise (5000+),Asia-Pacific,Generative AI,Partial Failure,45.56,20,Model Performance Gaps,Insufficient Budget,3,5,4,5,2023,64.6,True,True,True
AIPROJ-1124,Energy,Enterprise (5000+),North America,Process Automation,Partial Failure,36.3,9,Poor Data Quality,Siloed Organizational Structure,3,1,4,2,2024,77.8,False,False,True
AIPROJ-1125,Government,Large (1000-5000),North America,NLP/Chatbot,Partial Failure,9.61,24,Change Management Issues,Poor Data Quality,4,2,5,1,2024,65.4,False,False,False
AIPROJ-1126,Technology,Small (<200),Europe,Recommendation Engine,Failed,0.18,4,Vendor/Tech Dependency,Siloed Organizational Structure,4,4,5,4,2021,-30.7,True,False,False
AIPROJ-1127,Retail,Enterprise (5000+),Latin America,NLP/Chatbot,Succeeded,28.95,12,Siloed Organizational Structure,Regulatory/Compliance Hurdles,6,7,4,9,2022,102.7,False,True,True
AIPROJ-1128,Government,Large (1000-5000),North America,Fraud Detection,Ongoing (At Risk),2.86,18,No Clear Business Use Case,Model Performance Gaps,2,4,5,4,2022,,False,True,True
AIPROJ-1129,Energy,Large (1000-5000),Latin America,Fraud Detection,Partial Failure,2.9,33,Vendor/Tech Dependency,Poor Data Quality,5,5,7,3,2022,23.4,False,False,True
AIPROJ-1130,Healthcare,Large (1000-5000),Asia-Pacific,Predictive Analytics,Failed,8.24,22,Lack of Skilled Talent,Siloed Organizational Structure,3,6,3,4,2023,-45.6,False,False,True
AIPROJ-1131,Financial Services,Enterprise (5000+),Latin America,NLP/Chatbot,Failed,44.12,32,Change Management Issues,Lack of Executive Sponsorship,1,3,3,2,2021,-42.9,False,True,False
AIPROJ-1132,Energy,Enterprise (5000+),North America,Computer Vision,Partial Failure,27.35,13,Insufficient Budget,Lack of Executive Sponsorship,6,6,4,4,2020,77.6,True,False,True
AIPROJ-1133,Technology,Enterprise (5000+),Latin America,NLP/Chatbot,Ongoing (At Risk),31.81,7,Poor Data Quality,Insufficient Budget,2,5,2,5,2024,,False,False,True
AIPROJ-1134,Retail,Large (1000-5000),Middle East & Africa,NLP/Chatbot,Partial Failure,9.04,16,Vendor/Tech Dependency,Model Performance Gaps,5,7,3,2,2019,58.9,False,False,True
AIPROJ-1135,Manufacturing,Small (<200),Latin America,NLP/Chatbot,Partial Failure,0.14,29,No Clear Business Use Case,Vendor/Tech Dependency,4,4,4,4,2024,13.9,False,False,True
AIPROJ-1136,Technology,Large (1000-5000),Latin America,Fraud Detection,Ongoing (At Risk),8.36,7,Siloed Organizational Structure,Vendor/Tech Dependency,2,3,7,4,2020,,False,False,True
AIPROJ-1137,Energy,Mid-size (200-1000),Latin America,Computer Vision,Succeeded,1.8,18,Lack of Executive Sponsorship,Vendor/Tech Dependency,9,7,4,5,2024,83.5,True,True,True
AIPROJ-1138,Retail,Small (<200),Asia-Pacific,Fraud Detection,Failed,0.26,30,Model Performance Gaps,Regulatory/Compliance Hurdles,2,5,5,4,2023,-30.0,False,False,False
AIPROJ-1139,Technology,Small (<200),Asia-Pacific,Generative AI,Partial Failure,0.32,26,Insufficient Budget,Vendor/Tech Dependency,6,6,6,3,2020,36.0,False,True,True
AIPROJ-1140,Energy,Enterprise (5000+),Asia-Pacific,Predictive Analytics,Failed,36.27,18,Vendor/Tech Dependency,Lack of Executive Sponsorship,4,5,6,3,2022,-13.6,False,False,False
AIPROJ-1141,Energy,Large (1000-5000),Europe,Generative AI,Failed,9.62,21,Change Management Issues,Siloed Organizational Structure,5,4,3,1,2020,-29.3,True,False,False
AIPROJ-1142,Education,Small (<200),Asia-Pacific,Generative AI,Partial Failure,0.22,3,Siloed Organizational Structure,Model Performance Gaps,4,4,3,4,2022,19.4,False,True,True
AIPROJ-1143,Retail,Enterprise (5000+),North America,Computer Vision,Partial Failure,13.63,17,Vendor/Tech Dependency,Regulatory/Compliance Hurdles,2,5,8,3,2019,10.2,True,True,True
AIPROJ-1144,Energy,Small (<200),Middle East & Africa,Recommendation Engine,Failed,0.14,15,Poor Data Quality,Change Management Issues,4,4,5,4,2022,-6.2,True,False,False
AIPROJ-1145,Retail,Small (<200),Latin America,Fraud Detection,Succeeded,0.39,15,Insufficient Budget,Model Performance Gaps,8,6,8,4,2023,253.0,True,True,False
AIPROJ-1146,Education,Small (<200),Asia-Pacific,Fraud Detection,Failed,0.27,15,Vendor/Tech Dependency,Model Performance Gaps,4,5,3,4,2021,-52.4,True,True,False
